 # k       S(k)       S(k)_form^2       S(k)_Lorch          S(k)_Lorch_form^2
       0.200 -1.2131426E+00 -1.1768874E+00 -9.4214634E-01 -9.1398992E-01
       0.400 -1.1992604E+00 -1.1634126E+00 -9.2840320E-01 -9.0065179E-01
       0.600 -1.1757593E+00 -1.1406020E+00 -9.0604474E-01 -8.7895238E-01
       0.800 -1.1422242E+00 -1.1080533E+00 -8.7587115E-01 -8.4966848E-01
       1.000 -1.0983146E+00 -1.0654371E+00 -8.3896264E-01 -8.1384866E-01
       1.200 -1.0439606E+00 -1.0126866E+00 -7.9663717E-01 -7.7277222E-01
       1.400 -9.7955606E-01 -9.5018528E-01 -7.5035306E-01 -7.2785465E-01
       1.600 -9.0611843E-01 -8.7892169E-01 -7.0214166E-01 -6.8106719E-01
       1.800 -8.2538596E-01 -8.0058356E-01 -6.5312311E-01 -6.3349712E-01
       2.000 -7.3983128E-01 -7.1757087E-01 -6.0536820E-01 -5.8715358E-01
       2.200 -6.5258130E-01 -6.3291793E-01 -5.6048458E-01 -5.4359624E-01
       2.400 -5.6724514E-01 -5.5012624E-01 -5.1997700E-01 -5.0428461E-01
       2.600 -4.8766436E-01 -4.7292201E-01 -4.8514577E-01 -4.7047956E-01
       2.800 -4.1761051E-01 -4.0496268E-01 -4.5702703E-01 -4.4318542E-01
       3.000 -3.6046270E-01 -3.4952408E-01 -4.3634789E-01 -4.2310645E-01
       3.200 -3.1890166E-01 -3.0920382E-01 -4.2349776E-01 -4.1061914E-01
       3.400 -2.9465598E-01 -2.8567534E-01 -4.1851778E-01 -4.0576203E-01
       3.600 -2.8833088E-01 -2.7952211E-01 -4.2110927E-01 -4.0824399E-01
       3.800 -2.9934066E-01 -2.9017255E-01 -4.3066107E-01 -4.1747092E-01
       4.000 -3.2595433E-01 -3.1594470E-01 -4.4629412E-01 -4.3258901E-01
       4.200 -3.6545080E-01 -3.5419712E-01 -4.6692021E-01 -4.5254188E-01
       4.400 -4.1436733E-01 -4.0157019E-01 -4.9131090E-01 -4.7613747E-01
       4.600 -4.6881452E-01 -4.5429184E-01 -5.1817170E-01 -5.0212006E-01
       4.800 -5.2482360E-01 -5.0851435E-01 -5.4621608E-01 -5.2924205E-01
       5.000 -5.7868866E-01 -5.6064616E-01 -5.7423422E-01 -5.5633060E-01
       5.200 -6.2726773E-01 -6.0764355E-01 -6.0115156E-01 -5.8234443E-01
       5.400 -6.6821233E-01 -6.4723281E-01 -6.2607364E-01 -6.0641713E-01
       5.600 -7.0010281E-01 -6.7804104E-01 -6.4831384E-01 -6.2788405E-01
       5.800 -7.2248225E-01 -6.9962847E-01 -6.6740491E-01 -6.4629335E-01
       6.000 -7.3578679E-01 -7.1242050E-01 -6.8309220E-01 -6.6139932E-01
       6.200 -7.4118902E-01 -7.1755555E-01 -6.9531238E-01 -6.7314173E-01
       6.400 -7.4037629E-01 -7.1666991E-01 -7.0416008E-01 -6.8161333E-01
       6.600 -7.3529325E-01 -7.1164818E-01 -7.0984660E-01 -6.8701982E-01
       6.800 -7.2788077E-01 -7.0437036E-01 -7.1265444E-01 -6.8963584E-01
       7.000 -7.1984156E-01 -6.9648500E-01 -7.1289304E-01 -6.8976194E-01
       7.200 -7.1245759E-01 -6.8923265E-01 -7.1085856E-01 -6.8768575E-01
       7.400 -7.0647746E-01 -6.8333719E-01 -7.0680124E-01 -6.8365037E-01
       7.600 -7.0208060E-01 -6.7897155E-01 -7.0090220E-01 -6.7783194E-01
       7.800 -6.9891649E-01 -6.7579609E-01 -6.9326016E-01 -6.7032688E-01
       8.000 -6.9620741E-01 -6.7305838E-01 -6.8388813E-01 -6.6114872E-01
       8.200 -6.9289559E-01 -6.6973580E-01 -6.7271819E-01 -6.5023282E-01
       8.400 -6.8781164E-01 -6.6469860E-01 -6.5961213E-01 -6.3744670E-01
       8.600 -6.7984001E-01 -6.5686994E-01 -6.4437619E-01 -6.2260435E-01
       8.800 -6.6805893E-01 -6.4536107E-01 -6.2677632E-01 -6.0548107E-01
       9.000 -6.5183707E-01 -6.2956454E-01 -6.0655199E-01 -5.8582680E-01
       9.200 -6.3087729E-01 -6.0919622E-01 -5.8342797E-01 -5.6337756E-01
       9.400 -6.0520382E-01 -5.8428258E-01 -5.5712177E-01 -5.3786267E-01
       9.600 -5.7509821E-01 -5.5509861E-01 -5.2734738E-01 -5.0900837E-01
       9.800 -5.4099794E-01 -5.2206967E-01 -4.9381766E-01 -4.7654013E-01
      10.000 -5.0337253E-01 -4.8565175E-01 -4.5624487E-01 -4.4018318E-01
      10.200 -4.6259737E-01 -4.4620976E-01 -4.1434189E-01 -3.9966374E-01
      10.400 -4.1884685E-01 -4.0391455E-01 -3.6782855E-01 -3.5471510E-01
      10.600 -3.7201998E-01 -3.5867136E-01 -3.1644138E-01 -3.0508701E-01
      10.800 -3.2171142E-01 -3.1009230E-01 -2.5994923E-01 -2.5056075E-01
      11.000 -2.6723643E-01 -2.5752066E-01 -1.9817812E-01 -1.9097307E-01
      11.200 -2.0770186E-01 -2.0009978E-01 -1.3103798E-01 -1.2624187E-01
      11.400 -1.4212339E-01 -1.3688613E-01 -5.8557904E-02 -5.6400040E-02
      11.600 -6.9569270E-02 -6.6987978E-02  1.9079858E-02  1.8371921E-02
      11.800  1.0684073E-02  1.0284891E-02  1.0150810E-01  9.7715517E-02
      12.000  9.8998753E-02  9.5273884E-02  1.8814461E-01  1.8106559E-01
      12.200  1.9524862E-01  1.8785004E-01  2.7817459E-01  2.6763369E-01
      12.400  2.9873137E-01  2.8733019E-01  3.7054564E-01  3.5640363E-01
      12.600  4.0812516E-01  3.9243594E-01  4.6397336E-01  4.4613722E-01
      12.800  5.2150428E-01  5.0130978E-01  5.5696743E-01  5.3539968E-01
      13.000  6.3640734E-01  6.1158146E-01  6.4787186E-01  6.2259875E-01
      13.200  7.4995170E-01  7.2047875E-01  7.3491815E-01  7.0603602E-01
      13.400  8.5899216E-01  8.2498068E-01  8.1629479E-01  7.8397390E-01
      13.600  9.6029964E-01  9.2198956E-01  8.9022064E-01  8.5470627E-01
      13.800  1.0507502E+00  1.0085126E+00  9.5502208E-01  9.1663254E-01
      14.000  1.1275130E+00  1.0818425E+00  1.0092119E+00  9.6833324E-01
      14.200  1.1882124E+00  1.1397121E+00  1.0515563E+00  1.0086340E+00
      14.400  1.2310631E+00  1.1804240E+00  1.0811344E+00  1.0366626E+00
      14.600  1.2549618E+00  1.2029371E+00  1.0973801E+00  1.0518879E+00
      14.800  1.2595339E+00  1.2069103E+00  1.1001057E+00  1.0541430E+00
      15.000  1.2451344E+00  1.1927026E+00  1.0895069E+00  1.0436285E+00
      15.200  1.2128037E+00  1.1613292E+00  1.0661480E+00  1.0208979E+00
      15.400  1.1641840E+00  1.1143804E+00  1.0309280E+00  9.8682514E-01
      15.600  1.1014058E+00  1.0539121E+00  9.8503223E-01  9.4255666E-01
      15.800  1.0269534E+00  9.8231573E-01  9.2987248E-01  8.8945455E-01
      16.000  9.4351640E-01  9.0217619E-01  8.6701751E-01  8.2902910E-01
      16.200  8.5384550E-01  8.1613304E-01  7.9812398E-01  7.6287263E-01
      16.400  7.6061131E-01  7.2674569E-01  7.2486473E-01  6.9259070E-01
      16.600  6.6628451E-01  6.3637880E-01  6.4886529E-01  6.1974143E-01
      16.800  5.7304004E-01  5.4711115E-01  5.7164962E-01  5.4578364E-01
      17.000  4.8268461E-01  4.6066690E-01  4.9459292E-01  4.7203201E-01
      17.200  3.9662167E-01  3.7838274E-01  4.1889275E-01  3.9962968E-01
      17.400  3.1583961E-01  3.0119740E-01  3.4554722E-01  3.2952777E-01
      17.600  2.4093250E-01  2.2967208E-01  2.7534940E-01  2.6248044E-01
      17.800  1.7214396E-01  1.6403302E-01  2.0889260E-01  1.9905017E-01
      18.000  1.0942518E-01  1.0422742E-01  1.4658125E-01  1.3961855E-01
      18.200  5.2509232E-02  4.9994716E-02  8.8653663E-02  8.4408294E-02
      18.400  9.8383680E-04  9.3634059E-04  3.5204101E-02  3.3504570E-02
      18.600 -4.5634190E-02 -4.3413231E-02 -1.3788279E-02 -1.3117221E-02
      18.800 -8.7837947E-02 -8.3528295E-02 -5.8434710E-02 -5.5567689E-02
      19.000 -1.2608059E-01 -1.1984448E-01 -9.8910930E-02 -9.4018672E-02
      19.200 -1.6074257E-01 -1.5272773E-01 -1.3543460E-01 -1.2868165E-01
      19.400 -1.9211826E-01 -1.8246164E-01 -1.6824826E-01 -1.5979145E-01
      19.600 -2.2041611E-01 -2.0924789E-01 -1.9760342E-01 -1.8759109E-01
      19.800 -2.4577490E-01 -2.3322172E-01 -2.2375119E-01 -2.1232289E-01
      20.000 -2.6828731E-01 -2.5447449E-01 -2.4693471E-01 -2.3422123E-01
      20.200 -2.8802802E-01 -2.7308039E-01 -2.6738471E-01 -2.5350840E-01
      20.400 -3.0508190E-01 -2.8912318E-01 -2.8531850E-01 -2.7039360E-01
      20.600 -3.1956532E-01 -3.0271637E-01 -3.0093879E-01 -2.8507192E-01
      20.800 -3.3164036E-01 -3.1401658E-01 -3.1443508E-01 -2.9772561E-01
      21.000 -3.4151779E-01 -3.2322628E-01 -3.2598438E-01 -3.0852483E-01
      21.200 -3.4944999E-01 -3.3058697E-01 -3.3575226E-01 -3.1762863E-01
      21.400 -3.5571564E-01 -3.3636463E-01 -3.4389422E-01 -3.2518630E-01
      21.600 -3.6059815E-01 -3.4082926E-01 -3.5055605E-01 -3.3133769E-01
      21.800 -3.6436268E-01 -3.4423315E-01 -3.5587453E-01 -3.3621394E-01
      22.000 -3.6723479E-01 -3.4679075E-01 -3.5997761E-01 -3.3993758E-01
      22.200 -3.6938472E-01 -3.4866392E-01 -3.6298448E-01 -3.4262270E-01
      22.400 -3.7091981E-01 -3.4995489E-01 -3.6500587E-01 -3.4437522E-01
      22.600 -3.7188590E-01 -3.5070773E-01 -3.6614417E-01 -3.4529298E-01
      22.800 -3.7227774E-01 -3.5091826E-01 -3.6649385E-01 -3.4546621E-01
