 # k       S(k)       S(k)_form^2       S(k)_Lorch          S(k)_Lorch_form^2
       0.200 -1.2127222E+00 -1.1764795E+00 -9.4234702E-01 -9.1418460E-01
       0.400 -1.1989138E+00 -1.1630764E+00 -9.2858819E-01 -9.0083126E-01
       0.600 -1.1755228E+00 -1.1403726E+00 -9.0620583E-01 -8.7910866E-01
       0.800 -1.1421169E+00 -1.1079492E+00 -8.7600345E-01 -8.4979682E-01
       1.000 -1.0983359E+00 -1.0654577E+00 -8.3906615E-01 -8.1394907E-01
       1.200 -1.0440903E+00 -1.0128124E+00 -7.9672146E-01 -7.7285399E-01
       1.400 -9.7975861E-01 -9.5038175E-01 -7.5049011E-01 -7.2798759E-01
       1.600 -9.0634879E-01 -8.7914514E-01 -7.0202782E-01 -6.8095677E-01
       1.800 -8.2559738E-01 -8.0078863E-01 -6.5305998E-01 -6.3343588E-01
       2.000 -7.3998309E-01 -7.1771811E-01 -6.0531145E-01 -5.8709854E-01
       2.200 -6.5264549E-01 -6.3298019E-01 -5.6043435E-01 -5.4354752E-01
       2.400 -5.6721070E-01 -5.5009284E-01 -5.1993736E-01 -5.0424616E-01
       2.600 -4.8753861E-01 -4.7280007E-01 -4.8512017E-01 -4.7045474E-01
       2.800 -4.1741730E-01 -4.0477532E-01 -4.5701699E-01 -4.4317569E-01
       3.000 -3.6023775E-01 -3.4930596E-01 -4.3635271E-01 -4.2311113E-01
       3.200 -3.1868597E-01 -3.0899469E-01 -4.2351472E-01 -4.1063558E-01
       3.400 -2.9448844E-01 -2.8551290E-01 -4.1854264E-01 -4.0578612E-01
       3.600 -2.8824134E-01 -2.7943531E-01 -4.2113704E-01 -4.0827092E-01
       3.800 -2.9934474E-01 -2.9017651E-01 -4.3068683E-01 -4.1749590E-01
       4.000 -3.2605077E-01 -3.1603818E-01 -4.4631372E-01 -4.3260801E-01
       4.200 -3.6562182E-01 -3.5436287E-01 -4.6693084E-01 -4.5255218E-01
       4.400 -4.1458193E-01 -4.0177816E-01 -4.9131143E-01 -4.7613798E-01
       4.600 -4.6903406E-01 -4.5450457E-01 -5.1816269E-01 -5.0211133E-01
       4.800 -5.2500870E-01 -5.0869370E-01 -5.4619959E-01 -5.2922607E-01
       5.000 -5.7880620E-01 -5.6076004E-01 -5.7421334E-01 -5.5631038E-01
       5.200 -6.2729667E-01 -6.0767159E-01 -6.0112987E-01 -5.8232341E-01
       5.400 -6.6814741E-01 -6.4716993E-01 -6.2605456E-01 -6.0639865E-01
       5.600 -6.9995541E-01 -6.7789828E-01 -6.4830015E-01 -6.2787079E-01
       5.800 -7.2227832E-01 -6.9943099E-01 -6.6739830E-01 -6.4628694E-01
       6.000 -7.3556224E-01 -7.1220308E-01 -6.8309307E-01 -6.6140017E-01
       6.200 -7.4098334E-01 -7.1735643E-01 -6.9531988E-01 -6.7314900E-01
       6.400 -7.4022558E-01 -7.1652403E-01 -7.0417233E-01 -6.8162518E-01
       6.600 -7.3522386E-01 -7.1158102E-01 -7.0986101E-01 -6.8703378E-01
       6.800 -7.2790466E-01 -7.0439348E-01 -7.1266825E-01 -6.8964920E-01
       7.000 -7.1995422E-01 -6.9659401E-01 -7.1290373E-01 -6.8977228E-01
       7.200 -7.1263888E-01 -6.8940804E-01 -7.1086426E-01 -6.8769127E-01
       7.400 -7.0669517E-01 -6.8354777E-01 -7.0680104E-01 -6.8365018E-01
       7.600 -7.0229613E-01 -6.7917999E-01 -7.0089622E-01 -6.7782616E-01
       7.800 -6.9909164E-01 -6.7596545E-01 -6.9324948E-01 -6.7031655E-01
       8.000 -6.9631114E-01 -6.7315866E-01 -6.8387457E-01 -6.6113561E-01
       8.200 -6.9290943E-01 -6.6974918E-01 -6.7270397E-01 -6.5021907E-01
       8.400 -6.8773295E-01 -6.6462256E-01 -6.5959946E-01 -6.3743445E-01
       8.600 -6.7968243E-01 -6.5671768E-01 -6.4436692E-01 -6.2259540E-01
       8.800 -6.6784994E-01 -6.4515918E-01 -6.2677166E-01 -6.0547657E-01
       9.000 -6.5161318E-01 -6.2934830E-01 -6.0655229E-01 -5.8582709E-01
       9.200 -6.3067762E-01 -6.0900341E-01 -5.8343274E-01 -5.6338217E-01
       9.400 -6.0506320E-01 -5.8414682E-01 -5.5712978E-01 -5.3787041E-01
       9.600 -5.7504109E-01 -5.5504348E-01 -5.2735690E-01 -5.0901756E-01
