 # k       S(k)       S(k)_form^2       S(k)_Lorch          S(k)_Lorch_form^2
       0.200 -3.8681612E+00 -3.7646426E+00 -5.0835801E-01 -4.9475348E-01
       0.400 -3.5919348E+00 -3.4957885E+00 -4.5343332E-01 -4.4129614E-01
       0.600 -3.1559237E+00 -3.0714189E+00 -3.6656247E-01 -3.5674718E-01
       0.800 -2.5942020E+00 -2.5247044E+00 -2.5433974E-01 -2.4752609E-01
       1.000 -1.9498031E+00 -1.8975360E+00 -1.2521486E-01 -1.2185831E-01
       1.200 -1.2706695E+00 -1.2365815E+00  1.1200376E-02  1.0899906E-02
       1.400 -6.0524793E-01 -5.8899639E-01  1.4490675E-01  1.4101585E-01
       1.600  1.8055935E-03  1.7570609E-03  2.6630310E-01  2.5914514E-01
       1.800  5.1336822E-01  4.9955312E-01  3.6691288E-01  3.5703899E-01
       2.000  9.0267633E-01  8.7835265E-01  4.3998960E-01  4.2813356E-01
       2.200  1.1549840E+00  1.1238163E+00  4.8095275E-01  4.6797404E-01
       2.400  1.2679439E+00  1.2336733E+00  4.8762352E-01  4.7444382E-01
       2.600  1.2507468E+00  1.2168824E+00  4.6024987E-01  4.4778848E-01
       2.800  1.1221926E+00  1.0917521E+00  4.0133086E-01  3.9044440E-01
       3.000  9.0797405E-01  8.8329500E-01  3.1526838E-01  3.0669927E-01
       3.200  6.3752329E-01  6.2015803E-01  2.0788905E-01  2.0222644E-01
       3.400  3.4079847E-01  3.3149441E-01  8.5888213E-02  8.3543400E-02
       3.600  4.5362525E-02  4.4121100E-02 -4.3748166E-02 -4.2550921E-02
       3.800 -2.2595359E-01 -2.1975418E-01 -1.7429034E-01 -1.6950840E-01
       4.000 -4.5660490E-01 -4.4404351E-01 -2.9973427E-01 -2.9148846E-01
       4.200 -6.3701441E-01 -6.1944039E-01 -4.1515927E-01 -4.0370581E-01
       4.400 -7.6440523E-01 -7.4325432E-01 -5.1695314E-01 -5.0264918E-01
       4.600 -8.4190418E-01 -8.1853685E-01 -6.0289912E-01 -5.8616545E-01
       4.800 -8.7711319E-01 -8.5269005E-01 -6.7213292E-01 -6.5341745E-01
       5.000 -8.8038781E-01 -8.5579113E-01 -7.2498989E-01 -7.0473479E-01
       5.200 -8.6307155E-01 -8.3887444E-01 -7.6277089E-01 -7.4138582E-01
       5.400 -8.3590974E-01 -8.1238920E-01 -7.8746010E-01 -7.6530283E-01
