 # k       S(k)       S(k)_form^2       S(k)_Lorch          S(k)_Lorch_form^2
       0.200 -3.8666454E+00 -3.7631674E+00 -5.1208983E-01 -4.9838544E-01
       0.400 -3.5904979E+00 -3.4943900E+00 -4.5687738E-01 -4.4464802E-01
       0.600 -3.1546084E+00 -3.0701388E+00 -3.6955185E-01 -3.5965652E-01
       0.800 -2.5930374E+00 -2.5235710E+00 -2.5674236E-01 -2.4986434E-01
       1.000 -1.9488018E+00 -1.8965615E+00 -1.2694256E-01 -1.2353970E-01
       1.200 -1.2698273E+00 -1.2357618E+00  1.0186878E-02  9.9135969E-03
       1.400 -6.0454518E-01 -5.8831252E-01  1.4459749E-01  1.4071489E-01
       1.600  2.4001178E-03  2.3356050E-03  2.6664288E-01  2.5947578E-01
       1.800  5.1389286E-01  5.0006364E-01  3.6780911E-01  3.5791111E-01
       2.000  9.0317111E-01  8.7883410E-01  4.4132304E-01  4.2943107E-01
       2.200  1.1554856E+00  1.1243043E+00  4.8258987E-01  4.6956697E-01
       2.400  1.2684815E+00  1.2341964E+00  4.8942915E-01  4.7620064E-01
       2.600  1.2513397E+00  1.2174594E+00  4.6209895E-01  4.4958750E-01
       2.800  1.1228494E+00  1.0923911E+00  4.0311808E-01  3.9218314E-01
       3.000  9.0869333E-01  8.8399474E-01  3.1691494E-01  3.0830108E-01
       3.200  6.3829634E-01  6.2091003E-01  2.0934612E-01  2.0364382E-01
       3.400  3.4161244E-01  3.3228616E-01  8.7137055E-02  8.4758147E-02
       3.600  4.6204091E-02  4.4939635E-02 -4.2699121E-02 -4.1530585E-02
       3.800 -2.2509500E-01 -2.1891915E-01 -1.7341075E-01 -1.6865295E-01
       4.000 -4.5573473E-01 -4.4319728E-01 -2.9897873E-01 -2.9075370E-01
       4.200 -6.3613181E-01 -6.1858213E-01 -4.1447470E-01 -4.0304012E-01
       4.400 -7.6350327E-01 -7.4237732E-01 -5.1628593E-01 -5.0200043E-01
       4.600 -8.4097132E-01 -8.1762987E-01 -6.0220121E-01 -5.8548691E-01
       4.800 -8.7613553E-01 -8.5173962E-01 -6.7136626E-01 -6.5267213E-01
       5.000 -8.7935188E-01 -8.5478414E-01 -7.2412896E-01 -7.0389791E-01
       5.200 -8.6196690E-01 -8.3780076E-01 -7.6180333E-01 -7.4044538E-01
       5.400 -8.3473097E-01 -8.1124361E-01 -7.8638561E-01 -7.6425856E-01
       5.600 -8.0656542E-01 -7.8378533E-01 -8.0025584E-01 -7.7765396E-01
       5.800 -7.8378682E-01 -7.6156406E-01 -8.0589742E-01 -7.8304776E-01
       6.000 -7.6982274E-01 -7.4790826E-01 -8.0565699E-01 -7.8272242E-01
       6.200 -7.6537770E-01 -7.4349947E-01 -8.0156358E-01 -7.7865099E-01
       6.400 -7.6895454E-01 -7.4688018E-01 -7.9521434E-01 -7.7238614E-01
       6.600 -7.7759909E-01 -7.5517839E-01 -7.8772665E-01 -7.6501394E-01
       6.800 -7.8772230E-01 -7.6490695E-01 -7.7974976E-01 -7.5716532E-01
       7.000 -7.9586396E-01 -7.7270563E-01 -7.7152271E-01 -7.4907267E-01
       7.200 -7.9929021E-01 -7.7592118E-01 -7.6296320E-01 -7.4065627E-01
       7.400 -7.9635685E-01 -7.7295961E-01 -7.5377115E-01 -7.3162509E-01
       7.600 -7.8661838E-01 -7.6339132E-01 -7.4353137E-01 -7.2157656E-01
       7.800 -7.7070377E-01 -7.4782973E-01 -7.3180301E-01 -7.1008353E-01
       8.000 -7.5001706E-01 -7.2764001E-01 -7.1818808E-01 -6.9676066E-01
       8.200 -7.2633991E-01 -7.0455286E-01 -7.0237355E-01 -6.8130538E-01
       8.400 -7.0142002E-01 -6.8026497E-01 -6.8414725E-01 -6.6351316E-01
       8.600 -6.7662227E-01 -6.5610080E-01 -6.6339130E-01 -6.4327111E-01
       8.800 -6.5269536E-01 -6.3278642E-01 -6.4005714E-01 -6.2053370E-01
       9.000 -6.2968214E-01 -6.1036325E-01 -6.1412922E-01 -5.9528750E-01
       9.200 -6.0697311E-01 -5.8824040E-01 -5.8558582E-01 -5.6751317E-01
       9.400 -5.8347312E-01 -5.6535683E-01 -5.5436115E-01 -5.3714875E-01
       9.600 -5.5783652E-01 -5.4040969E-01 -5.2031477E-01 -5.0406012E-01
       9.800 -5.2871804E-01 -5.1209756E-01 -4.8321386E-01 -4.6802383E-01
      10.000 -4.9498590E-01 -4.7932689E-01 -4.4272742E-01 -4.2872162E-01
      10.200 -4.5585900E-01 -4.4134465E-01 -3.9843430E-01 -3.8574833E-01
      10.400 -4.1094923E-01 -3.9777901E-01 -3.4984650E-01 -3.3863452E-01
      10.600 -3.6020726E-01 -3.4858644E-01 -2.9644260E-01 -2.8687892E-01
      10.800 -3.0379311E-01 -2.9392616E-01 -2.3771043E-01 -2.2998979E-01
      11.000 -2.4191092E-01 -2.3400012E-01 -1.7319951E-01 -1.6753566E-01
      11.200 -1.7464412E-01 -1.6889346E-01 -1.0257318E-01 -9.9195665E-02
      11.400 -1.0184144E-01 -9.8464484E-02 -2.5665831E-02 -2.4814779E-02
