 # k       S(k)       S(k)_form^2       S(k)_Lorch          S(k)_Lorch_form^2
       0.200 -1.9552845E+00 -1.9029577E+00 -1.3711293E+00 -1.3344356E+00
       0.400 -1.9438656E+00 -1.8918336E+00 -1.2626151E+00 -1.2288184E+00
       0.600 -1.8998740E+00 -1.8490019E+00 -1.0899551E+00 -1.0607699E+00
       0.800 -1.7936340E+00 -1.7455833E+00 -8.6490652E-01 -8.4173602E-01
       1.000 -1.5971524E+00 -1.5543386E+00 -6.0286012E-01 -5.8669964E-01
       1.200 -1.2935443E+00 -1.2588426E+00 -3.2179700E-01 -3.1316421E-01
       1.400 -8.8437818E-01 -8.6063171E-01 -4.1005983E-02 -3.9904930E-02
       1.600 -3.9303678E-01 -3.8247235E-01  2.2036496E-01  2.1444177E-01
       1.800  1.3689287E-01  1.3320898E-01  4.4481640E-01  4.3284607E-01
       2.000  6.4802405E-01  6.3056227E-01  6.1792820E-01  6.0127739E-01
       2.200  1.0790741E+00  1.0499548E+00  7.2956273E-01  7.0987517E-01
       2.400  1.3761508E+00  1.3389555E+00  7.7469526E-01  7.5375645E-01
       2.600  1.5029743E+00  1.4622809E+00  7.5375675E-01  7.3334858E-01
       2.800  1.4478217E+00  1.4085483E+00  6.7242685E-01  6.5418666E-01
       3.000  1.2257123E+00  1.1923971E+00  5.4088388E-01  5.2618247E-01
       3.200  8.7541169E-01  8.5156668E-01  3.7259293E-01  3.6244401E-01
       3.400  4.5196264E-01  4.3962372E-01  1.8277955E-01  1.7778953E-01
       3.600  1.6398642E-02  1.5949865E-02 -1.3216496E-02 -1.2854804E-02
       3.800 -3.7515698E-01 -3.6486394E-01 -2.0149582E-01 -1.9596745E-01
       4.000 -6.8076000E-01 -6.6203201E-01 -3.7086638E-01 -3.6066369E-01
       4.200 -8.7849437E-01 -8.5425836E-01 -5.1367376E-01 -4.9950247E-01
       4.400 -9.6794394E-01 -9.4116117E-01 -6.2611574E-01 -6.0879128E-01
       4.600 -9.6732744E-01 -9.4047894E-01 -7.0804244E-01 -6.8839049E-01
       4.800 -9.0726702E-01 -8.8200426E-01 -7.6232048E-01 -7.4109374E-01
       5.000 -8.2281433E-01 -7.9982616E-01 -7.9389924E-01 -7.7171891E-01
       5.200 -7.4560207E-01 -7.2469834E-01 -8.0875080E-01 -7.8607663E-01
       5.400 -6.9779438E-01 -6.7816008E-01 -8.1285688E-01 -7.8998499E-01
       5.600 -6.8895202E-01 -6.6949373E-01 -8.1138890E-01 -7.8847258E-01
       5.800 -7.1615757E-01 -6.9585231E-01 -8.0817771E-01 -7.8526339E-01
       6.000 -7.6697408E-01 -7.4514070E-01 -8.0550773E-01 -7.8257741E-01
       6.200 -8.2419323E-01 -8.0063377E-01 -8.0421077E-01 -7.8122251E-01
       6.400 -8.7102761E-01 -8.4602304E-01 -8.0398573E-01 -7.8090573E-01
       6.600 -8.9544451E-01 -8.6962593E-01 -8.0384201E-01 -7.8066464E-01
       6.800 -8.9268632E-01 -8.6683083E-01 -8.0255890E-01 -7.7931383E-01
       7.000 -8.6558084E-01 -8.4039387E-01 -7.9906893E-01 -7.7581734E-01
       7.200 -8.2282815E-01 -7.9877093E-01 -7.9270442E-01 -7.6952794E-01
       7.400 -7.7594738E-01 -7.5314977E-01 -7.8328533E-01 -7.6027213E-01
