 # k       S(k)       S(k)_form^2       S(k)_Lorch          S(k)_Lorch_form^2
    0.200000  1.9715136E-01  1.9187525E-01  4.5922822E-01  4.4693849E-01
    0.400000  2.1243088E-01  2.0674468E-01  4.5315100E-01  4.4102138E-01
    0.600000  2.3671389E-01  2.3037550E-01  4.4296449E-01  4.3110342E-01
    0.800000  2.6829289E-01  2.6110543E-01  4.2858936E-01  4.1710763E-01
    1.000000  3.0490729E-01  2.9673384E-01  4.0992885E-01  3.9894016E-01
    1.200000  3.4386491E-01  3.3464011E-01  3.8688208E-01  3.7650326E-01
    1.400000  3.8218669E-01  3.7192459E-01  3.5935969E-01  3.4971051E-01
    1.600000  4.1676692E-01  4.0556464E-01  3.2730102E-01  3.1850350E-01
    1.800000  4.4454034E-01  4.3257745E-01  2.9069162E-01  2.8286890E-01
    2.000000  4.6264743E-01  4.5018085E-01  2.4958011E-01  2.4285488E-01
    2.200000  4.6858887E-01  4.5594380E-01  2.0409321E-01  1.9858567E-01
    2.400000  4.6036135E-01  4.4791849E-01  1.5444811E-01  1.5027362E-01
    2.600000  4.3656745E-01  4.2474727E-01  1.0096101E-01  9.8227462E-02
    2.800000  3.9649408E-01  3.8573883E-01  4.4051450E-02  4.2856515E-02
    3.000000  3.4015549E-01  3.3090994E-01 -1.5758265E-02 -1.5329950E-02
    3.200000  2.6829893E-01  2.6099083E-01 -7.7848721E-02 -7.5728229E-02
    3.400000  1.8237298E-01  1.7739405E-01 -1.4151406E-01 -1.3765062E-01
    3.600000  8.4460505E-02  8.2149095E-02 -2.0597739E-01 -2.0034046E-01
    3.800000 -2.2819827E-02 -2.2193727E-02 -2.7041036E-01 -2.6299121E-01
    4.000000 -1.3643805E-01 -1.3268458E-01 -3.3395609E-01 -3.2476882E-01
    4.200000 -2.5309655E-01 -2.4611409E-01 -3.9575448E-01 -3.8483636E-01
    4.400000 -3.6938514E-01 -3.5916435E-01 -4.5496868E-01 -4.4237981E-01
    4.600000 -4.8193950E-01 -4.6856311E-01 -5.1081161E-01 -4.9663386E-01
    4.800000 -5.8759448E-01 -5.7123296E-01 -5.6257106E-01 -5.4690633E-01
    5.000000 -6.8352467E-01 -6.6442804E-01 -6.0963236E-01 -5.9260017E-01
    5.200000 -7.6736515E-01 -7.4585127E-01 -6.5149718E-01 -6.3323178E-01
    5.400001 -8.3730677E-01 -8.1374692E-01 -6.8779802E-01 -6.6844500E-01
    5.600001 -8.9215993E-01 -8.6696237E-01 -7.1830615E-01 -6.9801880E-01
    5.800001 -9.3138901E-01 -9.0498128E-01 -7.4293559E-01 -7.2187109E-01
    6.000001 -9.5510973E-01 -9.2792070E-01 -7.6173887E-01 -7.4005452E-01
    6.200001 -9.6405567E-01 -9.3649826E-01 -7.7489771E-01 -7.5274736E-01
    6.400000 -9.5951451E-01 -9.3196974E-01 -7.8270779E-01 -7.6023861E-01
    6.600000 -9.4323797E-01 -9.1604136E-01 -7.8555848E-01 -7.6290828E-01
    6.800000 -9.1733172E-01 -8.9076241E-01 -7.8390831E-01 -7.6120342E-01
    6.999999 -8.8413082E-01 -8.5840407E-01 -7.7825776E-01 -7.5561174E-01
    7.199999 -8.4606700E-01 -8.2133034E-01 -7.6912018E-01 -7.4663324E-01
    7.399999 -8.0553726E-01 -7.8187029E-01 -7.5699281E-01 -7.3475209E-01
    7.599998 -7.6477744E-01 -7.4219529E-01 -7.4232889E-01 -7.2040959E-01
    7.799998 -7.2574832E-01 -7.0420854E-01 -7.2551226E-01 -7.0397949E-01
    7.999998 -6.9004172E-01 -6.6945406E-01 -7.0683666E-01 -6.8574791E-01
    8.199997 -6.5880706E-01 -6.3904569E-01 -6.8648945E-01 -6.6589774E-01
    8.399997 -6.3270368E-01 -6.1362114E-01 -6.6454135E-01 -6.4449858E-01
    8.599997 -6.1188138E-01 -5.9332345E-01 -6.4094353E-01 -6.2150417E-01
    8.799996 -5.9598659E-01 -5.7780742E-01 -6.1553089E-01 -5.9675557E-01
    8.999996 -5.8419491E-01 -5.6627159E-01 -5.8803184E-01 -5.6999080E-01
    9.199996 -5.7526764E-01 -5.5751344E-01 -5.5808583E-01 -5.4086190E-01
    9.399995 -5.6762744E-01 -5.5000315E-01 -5.2526544E-01 -5.0895644E-01
    9.599995 -5.5944979E-01 -5.4197257E-01 -4.8910290E-01 -4.7382331E-01
    9.799995 -5.4876531E-01 -5.3151463E-01 -4.4912171E-01 -4.3500338E-01
    9.999994 -5.3356713E-01 -5.1668759E-01 -4.0486882E-01 -3.9206069E-01
   10.199994 -5.1191827E-01 -4.9561902E-01 -3.5594701E-01 -3.4461382E-01
   10.399994 -4.8205470E-01 -4.6660567E-01 -3.0204821E-01 -2.9236808E-01
   10.599993 -4.4247856E-01 -4.2820353E-01 -2.4298232E-01 -2.3514334E-01
   10.799993 -3.9203722E-01 -3.7930417E-01 -1.7870149E-01 -1.7289742E-01
   10.999992 -3.2998820E-01 -3.1919716E-01 -1.0932223E-01 -1.0574726E-01
   11.199992 -2.5604178E-01 -2.4761087E-01 -3.5136381E-02 -3.3979415E-02
   11.399992 -1.7038758E-01 -1.6473770E-01  4.3380076E-02  4.1941639E-02
   11.599991 -7.3698041E-02 -7.1236934E-02  1.2556902E-01  1.2137571E-01
   11.799991  3.2889103E-02  3.1782897E-02  2.1060025E-01  2.0351683E-01
   11.999991  1.4780253E-01  1.4279515E-01  2.9748508E-01  2.8740663E-01
   12.199990  2.6908993E-01  2.5990651E-01  3.8510044E-01  3.7195785E-01
   12.399990  3.9448563E-01  3.8092283E-01  4.7221898E-01  4.5598363E-01
   12.599990  5.2148394E-01  5.0342043E-01  5.5754006E-01  5.3822761E-01
   12.799990  6.4742666E-01  6.2483098E-01  6.3972854E-01  6.1740153E-01
   12.999991  7.6959300E-01  7.4252855E-01  7.1745375E-01  6.9222289E-01
   13.199991  8.8528844E-01  8.5391554E-01  7.8942745E-01  7.6145168E-01
   13.399991  9.9193777E-01  9.5651247E-01  8.5444460E-01  8.2392963E-01
   13.599992  1.0871674E+00  1.0480373E+00  9.1141786E-01  8.7861346E-01
   13.799992  1.1688806E+00  1.1264778E+00  9.5940882E-01  9.2460484E-01
   13.999993  1.2353268E+00  1.1901577E+00  9.9765679E-01  9.6117796E-01
   14.199993  1.2851515E+00  1.2377850E+00  1.0255977E+00  9.8779754E-01
   14.399993  1.3174390E+00  1.2684919E+00  1.0428800E+00  1.0041337E+00
   14.599994  1.3317342E+00  1.2818557E+00  1.0493706E+00  1.0100677E+00
   14.799994  1.3280517E+00  1.2779064E+00  1.0451555E+00  1.0056920E+00
   14.999995  1.3068677E+00  1.2571187E+00  1.0305326E+00  9.9130296E-01
   15.199995  1.2690967E+00  1.2203886E+00  1.0059987E+00  9.6738834E-01
   15.399995  1.2160532E+00  1.1689956E+00  9.7223017E-01  9.3460779E-01
   15.599996  1.1493996E+00  1.1045526E+00  9.3005847E-01  8.9376967E-01
   15.799996  1.0710859E+00  1.0289468E+00  8.8044361E-01  8.4580483E-01
   15.999997  9.8327541E-01  9.4426798E-01  8.2444194E-01  7.9173557E-01
   16.199997  8.8827090E-01  8.5273723E-01  7.6317623E-01  7.3264674E-01
   16.399997  7.8843123E-01  7.5662654E-01  6.9780160E-01  6.6965285E-01
   16.599998  6.8609255E-01  6.5818308E-01  6.2947502E-01  6.0386869E-01
   16.799998  5.8349325E-01  5.5955711E-01  5.5932701E-01  5.3638222E-01
   16.999999  4.8270005E-01  4.6273126E-01  4.8843280E-01  4.6822686E-01
   17.199999  3.8555093E-01  3.6946605E-01  4.1779214E-01  4.0036218E-01
   17.399999  2.9360218E-01  2.8124949E-01  3.4830806E-01  3.3365373E-01
   17.600000  2.0809400E-01  1.9926459E-01  2.8077365E-01  2.6886046E-01
   17.800000  1.2993050E-01  1.2437075E-01  2.1586343E-01  2.0662660E-01
   18.000001  5.9670943E-02  5.7095929E-02  1.5412597E-01  1.4747489E-01
   18.200001 -2.4578608E-03 -2.3508945E-03  9.5985841E-02  9.1808529E-02
   18.400002 -5.6540899E-02 -5.4059340E-02  4.1744514E-02  3.9912363E-02
   18.600002 -1.0293640E-01 -9.8380220E-02 -8.4103953E-03 -8.0381337E-03
   18.800002 -1.4223148E-01 -1.3588264E-01 -5.4397267E-02 -5.1969115E-02
   19.000003 -1.7518729E-01 -1.6730116E-01 -9.6227486E-02 -9.1895762E-02
   19.200003 -2.0268042E-01 -1.9347950E-01 -1.3399126E-01 -1.2790856E-01
   19.400004 -2.2564454E-01 -2.1531464E-01 -1.6784450E-01 -1.6016066E-01
   19.600004 -2.4501208E-01 -2.3370103E-01 -1.9799257E-01 -1.8885218E-01
   19.800004 -2.6166308E-01 -2.4948175E-01 -2.2467715E-01 -2.1421765E-01
   20.000005 -2.7638057E-01 -2.6340618E-01 -2.4816218E-01 -2.3651247E-01
   20.200005 -2.8981634E-01 -2.7609743E-01 -2.6872144E-01 -2.5600109E-01
   20.400006 -3.0246868E-01 -2.8803146E-01 -2.8662883E-01 -2.7294767E-01
   20.600006 -3.1467120E-01 -2.9952670E-01 -3.0214891E-01 -2.8760709E-01
   20.800006 -3.2659467E-01 -3.1074615E-01 -3.1553083E-01 -3.0021919E-01
   21.000007 -3.3825933E-01 -3.2170933E-01 -3.2700327E-01 -3.1100400E-01
   21.200007 -3.4955678E-01 -3.3231350E-01 -3.3677147E-01 -3.2015888E-01
   21.400008 -3.6027988E-01 -3.4236224E-01 -3.4501635E-01 -3.2785781E-01
   21.600008 -3.7015672E-01 -3.5159796E-01 -3.5189444E-01 -3.3425131E-01
   21.800008 -3.7888753E-01 -3.5973707E-01 -3.5753960E-01 -3.3946815E-01
   22.000009 -3.8618037E-01 -3.6650391E-01 -3.6206525E-01 -3.4361749E-01
   22.200009 -3.9178361E-01 -3.7166155E-01 -3.6556725E-01 -3.4679167E-01
   22.400010 -3.9551324E-01 -3.7503760E-01 -3.6812734E-01 -3.4906946E-01
   22.600010 -3.9727229E-01 -3.7654250E-01 -3.6981626E-01 -3.5051913E-01
   22.800010 -3.9706223E-01 -3.7618010E-01 -3.7069699E-01 -3.5120146E-01
   23.000011 -3.9498513E-01 -3.7404955E-01 -3.7082748E-01 -3.5117233E-01
   23.200011 -3.9123726E-01 -3.7033898E-01 -3.7026287E-01 -3.5048496E-01
   23.400012 -3.8609476E-01 -3.6531179E-01 -3.6905726E-01 -3.4919139E-01
   23.600012 -3.7989310E-01 -3.5928704E-01 -3.6726475E-01 -3.4734367E-01
   23.800012 -3.7300191E-01 -3.5261551E-01 -3.6493999E-01 -3.4499421E-01
   24.000013 -3.6579765E-01 -3.4565384E-01 -3.6213814E-01 -3.4219585E-01
   24.200013 -3.5863651E-01 -3.3873888E-01 -3.5891451E-01 -3.3900146E-01
   24.400014 -3.5182913E-01 -3.3216391E-01 -3.5532365E-01 -3.3546311E-01
   24.600014 -3.4562017E-01 -3.2615941E-01 -3.5141851E-01 -3.3163126E-01
   24.800014 -3.4017311E-01 -3.2087887E-01 -3.4724927E-01 -3.2755368E-01
   25.000015 -3.3556233E-01 -3.1639154E-01 -3.4286232E-01 -3.2327447E-01
   25.200015 -3.3177248E-01 -3.1268192E-01 -3.3829941E-01 -3.1883329E-01
   25.400016 -3.2870480E-01 -3.0965602E-01 -3.3359682E-01 -3.1426454E-01
   25.600016 -3.2619027E-01 -3.0715382E-01 -3.2878504E-01 -3.0959716E-01
   25.800017 -3.2400770E-01 -3.0496648E-01 -3.2388842E-01 -3.0485421E-01
   26.000017 -3.2190565E-01 -3.0285708E-01 -3.1892551E-01 -3.0005329E-01
   26.200017 -3.1962592E-01 -3.0058272E-01 -3.1390922E-01 -2.9520663E-01
   26.400018 -3.1692678E-01 -2.9791643E-01 -3.0884754E-01 -2.9032182E-01
   26.600018 -3.1360413E-01 -2.9466697E-01 -3.0374436E-01 -2.8540258E-01
   26.800019 -3.0950855E-01 -2.9069476E-01 -2.9860015E-01 -2.8044945E-01
   27.000019 -3.0455736E-01 -2.8592315E-01 -2.9341313E-01 -2.7546078E-01
   27.200019 -2.9874041E-01 -2.8034363E-01 -2.8817987E-01 -2.7043342E-01
   27.400020 -2.9211950E-01 -2.7401521E-01 -2.8289620E-01 -2.6536352E-01
   27.600020 -2.8482173E-01 -2.6705799E-01 -2.7755787E-01 -2.6024717E-01
   27.800021 -2.7702693E-01 -2.5964133E-01 -2.7216089E-01 -2.5508066E-01
   28.000021 -2.6895134E-01 -2.5196834E-01 -2.6670192E-01 -2.4986096E-01
   28.200021 -2.6082781E-01 -2.4425739E-01 -2.6117822E-01 -2.4458554E-01
   28.400022 -2.5288529E-01 -2.3672283E-01 -2.5558763E-01 -2.3925245E-01
   28.600022 -2.4532905E-01 -2.2955647E-01 -2.4992840E-01 -2.3386012E-01
   28.800023 -2.3832272E-01 -2.2291090E-01 -2.4419872E-01 -2.2840691E-01
   29.000023 -2.3197476E-01 -2.1688686E-01 -2.3839654E-01 -2.2289096E-01
   29.200023 -2.2632931E-01 -2.1152483E-01 -2.3251903E-01 -2.1730968E-01
   29.400024 -2.2136293E-01 -2.0680213E-01 -2.2656234E-01 -2.1165953E-01
   29.600024 -2.1698714E-01 -2.0263533E-01 -2.2052149E-01 -2.0593591E-01
   29.800025 -2.1305609E-01 -1.9888763E-01 -2.1439009E-01 -2.0013291E-01
   30.000025 -2.0937945E-01 -1.9538092E-01 -2.0816062E-01 -1.9424357E-01
   30.200025 -2.0573844E-01 -1.9191083E-01 -2.0182446E-01 -1.8825991E-01
   30.400026 -2.0190426E-01 -1.8826398E-01 -1.9537232E-01 -1.8217333E-01
   30.600026 -1.9765718E-01 -1.8423573E-01 -1.8879488E-01 -1.7597520E-01
   30.800027 -1.9280429E-01 -1.7964673E-01 -1.8208310E-01 -1.6965718E-01
   31.000027 -1.8719514E-01 -1.7435742E-01 -1.7522919E-01 -1.6321208E-01
   31.200027 -1.8073327E-01 -1.6827871E-01 -1.6822699E-01 -1.5663425E-01
   31.400028 -1.7338332E-01 -1.6137847E-01 -1.6107277E-01 -1.4992028E-01
   31.600028 -1.6517302E-01 -1.5368329E-01 -1.5376584E-01 -1.4306961E-01
   31.800029 -1.5618962E-01 -1.4527505E-01 -1.4630878E-01 -1.3608470E-01
   32.000029 -1.4657203E-01 -1.3628357E-01 -1.3870807E-01 -1.2897161E-01
   32.200029 -1.3649843E-01 -1.2687492E-01 -1.3097393E-01 -1.2173991E-01
   32.400030 -1.2617123E-01 -1.1723746E-01 -1.2312044E-01 -1.1440269E-01
   32.600030 -1.1580063E-01 -1.0756655E-01 -1.1516553E-01 -1.0697661E-01
   32.800031 -1.0558750E-01 -9.8048600E-02 -1.0713034E-01 -9.9481280E-02
   33.000031 -9.5708285E-02 -8.8847130E-02 -9.9039101E-02 -9.1939165E-02
   33.200032 -8.6301796E-02 -8.0090517E-02 -9.0918363E-02 -8.4374822E-02
   33.400032 -7.7460339E-02 -7.1863856E-02 -8.2796699E-02 -7.6814666E-02
   33.600032 -6.9224517E-02 -6.4204199E-02 -7.4703877E-02 -6.9286184E-02
   33.800033 -6.1583178E-02 -5.7100581E-02 -6.6670446E-02 -6.1817550E-02
   34.000033 -5.4477887E-02 -5.0498236E-02 -5.8727380E-02 -5.4437300E-02
   34.200034 -4.7811147E-02 -4.4306278E-02 -5.0905417E-02 -4.7173717E-02
   34.400034 -4.1458442E-02 -3.8408903E-02 -4.3235097E-02 -4.0054874E-02
   34.600034 -3.5281957E-02 -3.2678125E-02 -3.5746326E-02 -3.3108224E-02
   34.800035 -2.9145568E-02 -2.6987663E-02 -2.8468435E-02 -2.6360664E-02
