 # k       S(k)       S(k)_form^2       S(k)_Lorch          S(k)_Lorch_form^2
    0.200000  1.5992467E+00  1.5564482E+00  1.5899901E-02  1.5474393E-02
    0.400000  1.5711775E+00  1.5291213E+00  1.1832029E-02  1.1515317E-02
    0.600000  1.5249961E+00  1.4841619E+00  5.0862966E-03  4.9501030E-03
    0.800000  1.4615873E+00  1.4224320E+00 -4.2865852E-03 -4.1717493E-03
    1.000000  1.3821577E+00  1.3451071E+00 -1.6216359E-02 -1.5781658E-02
    1.200000  1.2882044E+00  1.2536460E+00 -3.0613930E-02 -2.9792656E-02
    1.400000  1.1814771E+00  1.1497533E+00 -4.7372244E-02 -4.6100251E-02
    1.600000  1.0639334E+00  1.0353360E+00 -6.6367310E-02 -6.4583424E-02
    1.800000  9.3768933E-01  9.1245545E-01 -8.7459337E-02 -8.5105744E-02
    2.000000  8.0496672E-01  7.8327595E-01 -1.1049396E-01 -1.0751657E-01
    2.200000  6.6803836E-01  6.5001106E-01 -1.3530350E-01 -1.3165228E-01
    2.400000  5.2917279E-01  5.1487007E-01 -1.6170831E-01 -1.5733759E-01
    2.600000  3.9058045E-01  3.8000537E-01 -1.8951801E-01 -1.8438676E-01
    2.800000  2.5436235E-01  2.4746254E-01 -2.1853278E-01 -2.1260488E-01
    3.000000  1.2246305E-01  1.1913446E-01 -2.4854458E-01 -2.4178905E-01
    3.200000 -3.3710718E-03 -3.2792484E-03 -2.7933823E-01 -2.7172944E-01
    3.400000 -1.2162691E-01 -1.1830640E-01 -3.1069251E-01 -3.0221037E-01
    3.600000 -2.3105234E-01 -2.2472918E-01 -3.4238106E-01 -3.3301120E-01
    3.800000 -3.3067576E-01 -3.2160313E-01 -3.7417325E-01 -3.6390719E-01
    4.000000 -4.1981713E-01 -4.0826779E-01 -4.0583495E-01 -3.9467026E-01
    4.200000 -4.9809024E-01 -4.8434887E-01 -4.3712919E-01 -4.2506962E-01
    4.400000 -5.6539642E-01 -5.4975204E-01 -4.6781681E-01 -4.5487244E-01
    4.600000 -6.2191001E-01 -6.0464868E-01 -4.9765708E-01 -4.8384444E-01
    4.800000 -6.6805616E-01 -6.4945420E-01 -5.2640823E-01 -5.1175044E-01
    5.000000 -7.0448188E-01 -6.8479974E-01 -5.5382811E-01 -5.3835501E-01
    5.200000 -7.3202128E-01 -7.1149830E-01 -5.7967488E-01 -5.6342309E-01
    5.400001 -7.5165630E-01 -7.3050645E-01 -6.0370787E-01 -5.8672095E-01
    5.600001 -7.6447384E-01 -7.4288256E-01 -6.2568805E-01 -6.0801654E-01
    5.800001 -7.7162189E-01 -7.4974404E-01 -6.4537978E-01 -6.2708129E-01
    6.000001 -7.7426421E-01 -7.5222330E-01 -6.6255162E-01 -6.4369082E-01
    6.200001 -7.7353669E-01 -7.5142524E-01 -6.7697788E-01 -6.5762656E-01
    6.400000 -7.7050587E-01 -7.4838698E-01 -6.8844029E-01 -6.6867725E-01
    6.600000 -7.6613117E-01 -7.4404112E-01 -6.9673010E-01 -6.7664111E-01
    6.800000 -7.6123202E-01 -7.3918393E-01 -7.0164991E-01 -6.8132753E-01
    6.999999 -7.5646077E-01 -7.3444901E-01 -7.0301625E-01 -6.8255964E-01
    7.199999 -7.5228212E-01 -7.3028748E-01 -7.0066212E-01 -6.8017670E-01
    7.399999 -7.4895995E-01 -7.2695525E-01 -6.9443960E-01 -6.7403672E-01
    7.599998 -7.4655147E-01 -7.2450749E-01 -6.8422285E-01 -6.6401929E-01
    7.799998 -7.4490899E-01 -7.2280053E-01 -6.6991071E-01 -6.5002816E-01
    7.999998 -7.4368929E-01 -7.2150104E-01 -6.5142999E-01 -6.3199432E-01
    8.199997 -7.4236993E-01 -7.2010204E-01 -6.2873815E-01 -6.0987873E-01
    8.399997 -7.4027200E-01 -7.1794517E-01 -6.0182569E-01 -5.8367445E-01
    8.599997 -7.3658863E-01 -7.1424841E-01 -5.7071926E-01 -5.5340975E-01
    8.799996 -7.3041809E-01 -7.0813840E-01 -5.3548367E-01 -5.1915000E-01
    8.999996 -7.2080035E-01 -6.9868592E-01 -4.9622312E-01 -4.8099880E-01
    9.199996 -7.0675620E-01 -6.8494393E-01 -4.5308369E-01 -4.3910039E-01
    9.399995 -6.8732730E-01 -6.6598644E-01 -4.0625382E-01 -3.9364002E-01
    9.599995 -6.6161546E-01 -6.4094657E-01 -3.5596387E-01 -3.4484355E-01
    9.799995 -6.2882138E-01 -6.0905411E-01 -3.0248727E-01 -2.9297845E-01
    9.999994 -5.8827988E-01 -5.6966949E-01 -2.4613895E-01 -2.3835228E-01
   10.199994 -5.3949052E-01 -5.2231339E-01 -1.8727283E-01 -1.8131015E-01
   10.399994 -4.8214524E-01 -4.6669331E-01 -1.2628118E-01 -1.2223408E-01
   10.599993 -4.1614860E-01 -4.0272303E-01 -6.3590794E-02 -6.1539259E-02
   10.799993 -3.4163085E-01 -3.3053496E-01  3.4168850E-04  3.3059074E-04
   10.999992 -2.5895757E-01 -2.5048932E-01  6.5031957E-02  6.2905328E-02
   11.199992 -1.6872694E-01 -1.6317112E-01  1.2997554E-01  1.2569572E-01
   11.399992 -7.1765538E-02 -6.9385868E-02  1.9465107E-01  1.8819665E-01
   11.599991  3.0886700E-02  2.9855255E-02  2.5852723E-01  2.4989385E-01
   11.799991  1.3799858E-01  1.3335707E-01  3.2107007E-01  3.1027106E-01
   11.999991  2.4817092E-01  2.3976317E-01  3.8174767E-01  3.6881450E-01
   12.199990  3.5986950E-01  3.4758798E-01  4.4003798E-01  4.2502050E-01
   12.399990  4.7146247E-01  4.5525312E-01  4.9543643E-01  4.7840284E-01
   12.599990  5.8125574E-01  5.6112181E-01  5.4746091E-01  5.2849759E-01
   12.799990  6.8753603E-01  6.6354050E-01  5.9565950E-01  5.7487053E-01
