C8mimBF4		C2OHBF4		C6mimBF4		C4mimBF4		C2mimBF4		C3mimBF4	
X	Y	X	Y	X	Y	X	Y	X	Y	X	Y
0.137447589	0.032520014	0.250897033	0.007501942	0.15635583	0.040181386	0.78032777	0.005571029	1.964456338	0.006219983	1.149038462	0.006197592
0.142174649	0.036228557	0.383254717	0.006396294	0.15635583	0.038977193	1.546111514	0.006281422	2.283532898	0.006297036	1.390118529	0.006301185
0.142174649	0.035050542	0.695240687	0.005971236	0.15635583	0.03748878	1.858097484	0.006679784	2.595518868	0.006409818	1.829735123	0.006332461
0.142174649	0.033898706	1.007226657	0.005903152	0.922139574	0.006441388	2.170083454	0.007220936	2.907504838	0.006503563	2.141721093	0.006611831
0.16580995	0.026562908	1.319212627	0.005849347	1.234125544	0.007068214	2.482069424	0.007900118	3.219490808	0.006663942	2.453707063	0.006886443
0.17053701	0.031375004	1.631198597	0.005852657	1.517749153	0.008069068	2.794055394	0.008660214	3.531476778	0.006886197	2.765693033	0.007199131
0.17053701	0.030255163	1.943184567	0.005889286	1.744648041	0.009171651	3.106041364	0.009510743	3.843462748	0.007122731	3.077679003	0.007559416
0.17053701	0.029045153	2.255170537	0.005925914	1.929003387	0.010330111	3.418027334	0.010375552	4.155448718	0.007378304	3.389664973	0.007962538
0.17053701	0.027929965	2.567156507	0.005967302	2.084996372	0.011564993	3.730013304	0.011221322	4.467434688	0.007690992	3.701650943	0.008394218
0.184718191	0.024352225	2.879142477	0.006065806	2.226808176	0.012852297	4.041999274	0.011990937	4.779420658	0.008036998	4.013636913	0.008825898
0.184718191	0.020319924	3.191128447	0.006192868	2.3544388	0.014071604	4.353985244	0.0126606	5.091406628	0.00844012	4.325622883	0.009309934
0.194172311	0.016830338	3.503114417	0.00631517	2.467888244	0.015314538	4.665971214	0.01322079	5.403392598	0.008909877	4.637608853	0.00979397
0.198899371	0.022955993	3.815100387	0.00647079	2.581337687	0.016636005	4.993714051	0.013695763	5.715378568	0.00943675	4.949594823	0.010297044
0.198899371	0.021804156	4.127086357	0.006654968	2.694787131	0.017957473	5.289943154	0.013969918	6.027364538	0.01001122	5.261580793	0.010823917
0.203626431	0.018604588	4.439072327	0.006805828	2.808236575	0.019344386	5.601929124	0.014339723	6.315039913	0.010601441	5.552294993	0.011380042
0.222534672	0.014212395	4.751058297	0.007075679	2.921686018	0.02057423	5.923369215	0.014598953	6.651336478	0.011302948	5.885552733	0.012020453
0.227261732	0.01549884	5.063044267	0.007250338	3.035135462	0.021751718	6.225901064	0.014850868	6.963322448	0.012058285	6.197538703	0.012613961
0.247115385	0.012233216	5.375030237	0.007496391	3.176947267	0.02303815	6.537887034	0.015025526	7.284762538	0.012917232	6.509524673	0.013136074
0.260351153	0.01006112	5.687016207	0.007813839	3.418027334	0.024188073	6.849873004	0.015176386	7.573113208	0.013659933	6.821510643	0.013720063
0.307621755	0.008609885	5.999002177	0.008183643	3.701650943	0.024155554	7.161858974	0.015355804	7.95600508	0.014661966	7.133496613	0.014308812
0.4683418	0.006973721	6.310988147	0.008634362	4.084542816	0.022479831	7.473844944	0.015578059	8.253809869	0.015651544	7.445482583	0.014940397
0.78032777	0.006870415	6.622974117	0.00908508	4.297260522	0.021179288	7.785830914	0.01599546	8.480708757	0.016556253	7.704795597	0.015546389
1.049770198	0.007749106	6.934960087	0.009607194	4.495797049	0.019981652	8.097816884	0.016331947	8.835238268	0.017984883	8.154541606	0.016741014
1.248306725	0.008814941	7.246946057	0.010200702	4.708514756	0.018792365	8.409802854	0.016782665	9.062137155	0.01885199	8.466527576	0.017610582
1.40429971	0.010039353	7.558932027	0.010894163	4.935413643	0.01763293	8.721788824	0.017247663	9.501753749	0.020813307	8.778513546	0.018456352
