 # k       S(k)       S(k)_form^2       S(k)_Lorch          S(k)_Lorch_form^2
       0.200  1.6777926E-05  9.2821626E-03 -1.0969711E-05 -6.0688456E-03
       0.400  1.4524566E-05  8.0355211E-03 -1.0945831E-05 -6.0556340E-03
       0.600  1.1015313E-05  6.0940740E-03 -1.0906320E-05 -6.0337749E-03
       0.800  6.5895901E-06  3.6456023E-03 -1.0851614E-05 -6.0035100E-03
       1.000  1.6663230E-06  9.2187085E-04 -1.0782325E-05 -5.9651765E-03
       1.200 -3.3036931E-06 -1.8277239E-03 -1.0699211E-05 -5.9191952E-03
       1.400 -7.8880024E-06 -4.3639315E-03 -1.0602990E-05 -5.8659620E-03
       1.600 -1.1719085E-05 -6.4834266E-03 -1.0499107E-05 -5.8084903E-03
       1.800 -1.4531730E-05 -8.0394847E-03 -1.0379091E-05 -5.7420927E-03
       2.000 -1.6186867E-05 -8.9551672E-03 -1.0252042E-05 -5.6718047E-03
       2.200 -1.6679388E-05 -9.2276478E-03 -1.0117508E-05 -5.5973755E-03
       2.400 -1.6129595E-05 -8.9234820E-03 -9.9767750E-06 -5.5195169E-03
       2.600 -1.4760031E-05 -8.1657892E-03 -9.8311326E-06 -5.4389422E-03
       2.800 -1.2861267E-05 -7.1153236E-03 -9.6817545E-06 -5.3563007E-03
       3.000 -1.0751494E-05 -5.9481199E-03 -9.5296386E-06 -5.2721447E-03
       3.200 -8.7353864E-06 -4.8327353E-03 -9.3755689E-06 -5.1869077E-03
       3.400 -7.0675421E-06 -3.9100228E-03 -9.2200957E-06 -5.1008942E-03
       3.600 -5.9249575E-06 -3.2779032E-03 -9.0635379E-06 -5.0142807E-03
       3.800 -5.3915778E-06 -2.9828181E-03 -8.9060051E-06 -4.9271278E-03
       4.000 -5.4562023E-06 -3.0185707E-03 -8.7474381E-06 -4.8394027E-03
       4.200 -6.0231642E-06 -3.3322347E-03 -8.5876626E-06 -4.7510091E-03
       4.400 -6.9335125E-06 -3.8358727E-03 -8.4264502E-06 -4.6618205E-03
       4.600 -7.9931269E-06 -4.4220902E-03 -8.2635783E-06 -4.5717138E-03
       4.800 -9.0034503E-06 -4.9810380E-03 -8.0988826E-06 -4.4805981E-03
       5.000 -9.7904186E-06 -5.4164177E-03 -7.9322943E-06 -4.3884353E-03
       5.200 -1.0227681E-05 -5.6583272E-03 -7.7638575E-06 -4.2952500E-03
       5.400 -1.0251234E-05 -5.6713577E-03 -7.5937246E-06 -4.2011262E-03
       5.600 -9.8639856E-06 -5.4571177E-03 -7.4221328E-06 -4.1061954E-03
       5.800 -9.1302680E-06 -5.0511983E-03 -7.2493552E-06 -4.0106085E-03
       6.000 -8.1617648E-06 -4.5153868E-03 -7.0756465E-06 -3.9145065E-03
       6.200 -7.0974580E-06 -3.9265734E-03 -6.9011801E-06 -3.8179853E-03
       6.400 -6.0809100E-06 -3.3641818E-03 -6.7259899E-06 -3.7210637E-03
       6.600 -5.2383502E-06 -2.8980469E-03 -6.5499186E-06 -3.6236546E-03
       6.800 -4.6608147E-06 -2.5785332E-03 -6.3725921E-06 -3.5255511E-03
       7.000 -4.3926301E-06 -2.4301637E-03 -6.1934077E-06 -3.4264197E-03
       7.200 -4.4276314E-06 -2.4495276E-03 -6.0115441E-06 -3.3258061E-03
       7.400 -4.7131949E-06 -2.6075118E-03 -5.8259996E-06 -3.2231561E-03
       7.600 -5.1609968E-06 -2.8552522E-03 -5.6356369E-06 -3.1178405E-03
       7.800 -5.6625258E-06 -3.1327164E-03 -5.4392343E-06 -3.0091834E-03
       8.000 -6.1066988E-06 -3.3784491E-03 -5.2355434E-06 -2.8964941E-03
       8.200 -6.3968508E-06 -3.5389719E-03 -5.0233273E-06 -2.7790884E-03
       8.400 -6.4645439E-06 -3.5764222E-03 -4.8013800E-06 -2.6562991E-03
       8.600 -6.2782744E-06 -3.4733711E-03 -4.5685318E-06 -2.5274789E-03
       8.800 -5.8460682E-06 -3.2342588E-03 -4.3236212E-06 -2.3919854E-03
       9.000 -5.2118601E-06 -2.8833917E-03 -4.0654454E-06 -2.2491531E-03
       9.200 -4.4465846E-06 -2.4600132E-03 -3.7927069E-06 -2.0982642E-03
       9.400 -3.6355717E-06 -2.0113312E-03 -3.5039488E-06 -1.9385127E-03
       9.600 -2.8643658E-06 -1.5846720E-03 -3.1974984E-06 -1.7689731E-03
       9.800 -2.2052593E-06 -1.2200301E-03 -2.8714505E-06 -1.5885915E-03
      10.000 -1.7064866E-06 -9.4409081E-04 -2.5236775E-06 -1.3961907E-03
      10.200 -1.3856438E-06 -7.6658882E-04 -2.1518874E-06 -1.1905028E-03
      10.400 -1.2281431E-06 -6.7945371E-04 -1.7537552E-06 -9.7024155E-04
